OBJECTID,REGIONNAME,ZONENAME,WOREDANO_,WOREDANAME,GlobalID,Shape__Area,Shape__Length
346,Oromia,East Shewa,40701,Fentale,5073110a-a339-42a9-bcd7-33dba85cb19d,1279194217,154796.8674
347,Oromia,West Wellega,40114,Haru,6c2947ce-6c28-49eb-894a-024d881d2635,483638692.3,107115.7676
348,Oromia,West Harerge,40906,Anchar,ad360c59-0f4b-4918-8be6-2ec276b70f71,1001725754,147370.6233
349,Oromia,West Wellega,40112,Yubdo,d051bb33-a926-4792-910d-e0cf6a1828e6,394067549.9,84574.92984
350,Oromia,East Wellega,40216,Wama Hagalo,77152330-d2dc-4db3-8671-e4593702e108,610978745.2,110041.2315
351,Oromia,Horo Guduru,41908,Jarte Jardega,8215949b-e59a-40e0-a4ce-2c8a44dde019,1203361560,150482.8668
352,Oromia,West Harerge,40911,Kuni,e419d959-5cd9-41b7-97fb-0dfb378e167d,1457341905,208848.4073
353,Oromia,West Wellega,40115,Nole Kaba,cb48290f-5320-4bc0-89ff-c6f078821627,766629667.1,123241.1025
354,Oromia,South West Shewa,41305,Ilu,515bb5fe-b80a-48c1-9832-7aabd39b4baf,375592500.7,84144.2965
355,Oromia,West Shewa,40509,Tikur Enchini,2722c159-11b6-4eb7-8884-e0c071eba628,578581709.3,116415.5519
356,Oromia,East Shewa,40706,Ada'a,aaf6842c-a95f-4afe-8c56-51c0e6e686f1,911601944.8,143783.8078
357,Oromia,South West Shewa,41304,Dawo,c7b70fa6-7288-4eef-80ac-482b400f7da8,337600499.2,104703.3567
358,Oromia,West Shewa,40507,Dano,675d480a-22a1-466b-94fe-ea45c31674b9,661563830.7,118514.7186
359,Oromia,East Wellega,40214,Jimma Arjo,f3ede678-1703-4811-8e56-921e0f82197b,801820246.9,162834.0317
360,Oromia,Ilubabor,40318,Meko,da232437-fa97-40e8-a1e5-64519291f237,485261790.4,99033.56777
361,Oromia,West Harerge,40908,Habro,8930a546-2af8-42dc-83ce-be196261b23b,708143672,121519.5389
362,Oromia,West Shewa,40508,Nono,3a3305fc-fe27-4b2f-83a2-7c968ff232f2,778879505.7,126640.3288
363,Oromia,Jimma,40401,Limu Seka,0f0f1f33-6245-4036-b7ca-60d9849e55a2,2559825745,252025.728
364,Oromia,Arsi,40801,Merti,c3482368-a485-485d-a2ef-022a7ddde079,1103580170,182255.9313
365,Oromia,Kelem Wellega,41801,Hawa Galan,39eb326c-a73a-4875-89a0-c45028149e66,866390262.3,129411.4155
366,Oromia,East Wellega,40215,Nunu Kumba,2b49ae49-d2e7-42fb-83ea-0259c010d344,651861738.2,122030.9951
367,Oromia,East Shewa,40702,Boset,a588481b-9043-4f3f-9d0c-9f8824e0b707,1405353801,200929.495
368,Oromia,East Shewa,40704,Lome,5f67d364-54a8-40fe-90f3-d0937a2e087e,717975119.3,137612.7544
369,Oromia,West Harerge,40910,Boke,1d2a24bf-7248-43f4-b0e7-ad6484d68d0b,3442913758,333345.4428
370,Oromia,South West Shewa,41302,Wenchi,bcf0fc7c-292f-4f77-a9bb-2bb666464cc5,468541376.1,95835.07173
371,Oromia,South West Shewa,41308,Tole,2c4d0f27-aca9-4aa6-9f24-603310b82d7c,430205066.3,107218.5407
372,Oromia,Ilubabor,40301,Darimu,8cfd626b-9c41-4676-af3d-2298c9f55b2d,1378110055,163566.6187
373,Oromia,South West Shewa,41301,Ameya,33ef7b37-d071-452e-82fa-068eba5a903c,994578751,131869.7021
374,Oromia,South West Shewa,41309,Becho,92ba6894-e2e9-40f9-81ce-21db4b615329,419189867.8,94787.49955
375,Oromia,East Shewa,40703,Adama,4a7f4744-9554-4d0e-b71e-d8339cfddc0d,1066675904,169531.7705
376,Oromia,South West Shewa,41303,Waliso,f2f1c16f-74e3-4495-a352-1ff334b750c6,622720198.4,118442.7512
377,Oromia,Ilubabor,40302,Alge Sachi,f5a9c5bc-ca07-469f-b34c-3c48df909a35,879939045.4,151396.0745
378,Oromia,Arsi,40802,Aseko,4b9b5127-bc21-4bf3-8422-a329e6a0f173,544145659.1,101049.7129
379,Oromia,Arsi,40803,Gololcha Arsi,3c7bb3e7-c4ec-48a5-aeec-14872d8a49e9,1746090741,187743.9386
380,Oromia,Jimma,40415,Chora,24d3edb6-b36a-4b36-bee8-dd170071e785,1592122632,179873.7283
381,Oromia,Arsi,40804,Jeju,a8c202ac-c371-41f3-9192-e933f7aab983,820154346.5,138044.3227
382,Oromia,South West Shewa,41310,Seden Sodo,2c97d13b-eb36-4569-a130-458c1588a43f,506425126.2,120021.4575
383,Oromia,Ilubabor,40303,Chora,866a0570-1162-4977-835d-edcf26bcb438,1055488716,170692.374
384,Oromia,Arsi,40820,Sire,ea1f6632-f4dd-48ed-8708-6fdb567c3d0a,553149993.2,109284.1583
385,Oromia,Ilubabor,40310,Metu Zuria,ba196150-9461-4f6f-9147-3ee7ae13b240,779751824.7,151249.0381
386,Oromia,Ilubabor,40309,Yayu,98212413-3a51-4168-a5c4-d073d944db13,593167149.1,112066.9546
387,Oromia,East Shewa,40707,Dugda,e4a83372-883e-4a83-b5f1-1728e11d1c20,1130597946,195035.4971
388,Oromia,Arsi,40809,Chole,674eeb81-8fd9-4cd2-84ad-d76278c62349,614162159.7,121095.107
389,Oromia,Arsi,40806,Ziway Dugda,844e0b9d-aaff-449b-95b1-08673e2f3164,1301619270,196221.8783
390,Oromia,Ilubabor,40317,Didu,907ba305-653d-425f-911c-95cc848a981f,999459982.5,147156.397
391,Oromia,Arsi,40808,Sude,ff5cd77e-3735-45c3-9f9e-a1585e2ca807,1236736338,175535.8056
392,Oromia,Jimma,40413,Setema,b9db02f4-5b6c-4a4a-9a16-4c4b84a01a48,1134451235,154256.9363
393,Oromia,Arsi,40807,Hitosa,751b55d2-52e9-405f-b1a5-90df26a0b66f,718354209.4,141301.9502
394,Oromia,Ilubabor,40308,Dedesa,44495351-5e9f-4f1a-8745-575a74e9a30e,519333404.6,109193.1734
395,Oromia,Jimma,40412,Sigmo,b46254be-4896-4eaf-b5b4-a41c7aac6108,1044702341,145313.0022
396,Oromia,Jimma,40404,Tiro Afeta,743cfbdb-64a0-4523-bc5e-89f39532a173,931034681.2,127695.862
397,Oromia,Bale,41107,Lege Hida,33f0a392-443a-43db-aa2e-3b3b6f7b552b,5156957699,469735.4967
398,Oromia,Arsi,40810,Amigna,24cb0e56-62b2-40a9-811a-82efe3061299,1374951058,255942.3274
399,Oromia,Jimma,40407,Goma,a2d7d247-2d90-4a43-98f2-902952089163,710485903.1,131627.4671
400,Oromia,East Shewa,40708,Adami Tulu Jido Kombolcha,5c684fda-7f7f-41ab-8dce-937d3d1ea54c,1282683161,201985.3649
