Region,Zone,District,Town,Population,Biowaste,Latitude,Longitude,,,
Oromia,East Shewa,LOMME,"Mojo, Ethiopia ( 8,1371 )",61311,8138,8.65,39.0833,,,
Oromia,Kelem Wollega,DEMBI DOLO,"Dembidolo ( 8,105 )",61070,8106,8.5323,34.8,,,
SNNP,Gamo Gofa,SAWULAWEREDA,"Sawula ( 8,101 )",61037,8101.6,6.3005,36.8761,,,
Oromia,Ilu Ababora,METU,"Metu ( 7,924 )",59706,7924.9,8.2968,35.5814,,,
SNNP,Sidama,ALETA WONDO,"Aleta Wendo ( 7,871 )",59302,7871.3,6.5833,38.3333,,,
Amhara,East Gojam ,HULET EJ ENESE,"Mota ( 7,837 )",59048,7837.6,11.0744,37.8703,,,
Amhara,West Gojam ,FINOTE SELAM,"Finote Selam ( 7,755 )",58429,7755.4,10.7,37.2667,,,
Oromia,Borena,BULE HORA,"Bule Hora ( 7,657 )",57686,7656.8,5.639,38.2406,,,
Oromia,North Shewa,FICHE,"Fiche ( 7,575 )",57067,7574.7,9.7862,38.7356,,,
Somali,Moyale Special,MOYALE SPECIAL,"Moyale ( 7,569 )",57024,7568.9,3.5147,39.0612,,,
Amhara,North Wollo,KOBO,"Kobo ( 7,440 )",56053,7440.1,12.1594,39.633,,,
SNNP,Kefa,BONGA,"Bonga ( 7,439 )",56045,7439,7.2667,36.2333,,,
Amhara,Awi,DANGILA,"Dangila ( 7,428 )",55966,7428.5,11.2406,36.6984,,,
SNNP,South Omo,DEBUB ARI,"Jinka ( 7,219 )",54390,7219.3,5.7833,36.5667,,,
Oromia,Jimma,AGARO,"Agaro ( 7,008 )",52802,7008.6,7.8568,36.5869,,,
Amhara,Awi,GUANGUA,"Chagni ( 6,946 )",52333,6946.3,10.95,36.5,,,
Amhara,Wag Hemra,SEKOTA,"Soqota ( 6,678 )",50316,6678.6,12.633,39.033,,,
Tigray,Eastern  ,MAYCHEW,"Maychew ( 6,584 )",49603,6583.9,12.7833,39.5333,,,
SNNP,Sidama,WENDO GENET,"Chuko ( 6,573 )",49522,6573.2,6.5846,38.3341,,,
Oromia,West Shewa,HOLETA,"Holeta ( 6,415 )",48332,6415.2,9.0633,38.4902,,,
SNNP,Kembata Timbaro,HADERO TUNITO,"Hadero ( 6,366 )",47961,6366,7.1973,37.6546,,,
Amhara,South Gondar ,FOGERA,"Wereta ( 6,348 )",47827,6348.2,11.9167,37.7,,,
Oromia,Guji,ADOLA,"Adola ( 6,314 )",47573,6314.5,6,39.0833,,,
Oromia,Guji,ODO SHAKISO,"Shakiso ( 6,310 )",47537,6309.7,5.75,38.9167,,,
